str,EMG_Chn_1_r1,EMG_Chn_2_r1,EMG_Chn_3_r1,EMG_Chn_4_r1,EMG_Chn_5_r1,EMG_Chn_6_r1,EMG_Chn_7_r1,EMG_Chn_8_r1
40,0.0279482572212093,0.0138797092963574,0,0.0266263816863269,0.00519308869935926,0.000472098857553743,0.00245491398893124,0.0127466715457908
50,0.0381455964838708,0.162496461662719,0.000377679050868881,0.0296478155002424,0.0294589749723458,0.365215757033689,0.00453215022843579,0.0147294869585612
60,0.0524029831779137,0.662449255435071,0.00812010210863006,0.0492871302256214,0.0993296196785523,0.697951108095045,0.0175620819329375,0.0231328476782412
70,0.0686431864102987,0.738929289915585,0.078274004933449,0.0877159851798458,0.188367485669397,0.759418376323568,0.0449438208064752,0.0682655077815191
80,0.138985933561818,0.796997457906831,0.112831649326081,0.109526958659821,0.239543008722349,0.820035882999632,0.0575016522288716,0.0986686823332004
90,0.233122466792155,0.8414691799261,0.151449343119844,0.129355113913097,0.296666981953113,0.880936664537186,0.0633556793112191,0.118119158781826
100,0.335095843097982,0.883580407165164,0.162118781732497,0.12378434591665,0.331035784692277,0.896704761384757,0.0727032380625736,0.122934567480615
110,0.356151456717513,0.916060820383364,0.164856957568497,0.116419603598115,0.345009918473476,0.932300999978744,0.0710036835119965,0.118874516953912
120,0.349069958870035,0.931167963564794,0.163251818146448,0.149938626775672,0.4759701587942,1,0.0703427427195815,0.127277874859663
40,0.039845151667582,0.0199225753061793,0.00141629678370591,0.037390237748999,0.0171844018444323,0.00302143275869219,0.00207723518428115,0.0190727977143237
50,0.0540081186604624,0.0247379852712367,0.0149183267829756,0.0435275239524211,0.0217165518090623,0.00434331012262848,0.00179397608079358,0.0222830712119572
60,0.068832028063767,0.0423944864128992,0.0511755262186222,0.0611840249533871,0.0301199128804834,0.0213388727406063,0.00698706358423299,0.0386176938641118
70,0.0817675395043204,0.235577376771237,0.0663771130196123,0.0669436323521591,0.0498536495581682,0.033991124708344,0.0179397601748018,0.0631668415972515
80,0.0964026078169424,0.371541883765007,0.0800679826322517,0.0864885268135897,0.0569351350243587,0.170994240395204,0.0338967062734495,0.0886601844426143
90,0.133320745864209,0.547351529411937,0.0892267026495894,0.129071854809609,0.135209140450245,0.440279493745621,0.037767916835042,0.0937588514007124
100,0.224907939284156,0.685298845627834,0.11887451582834,0.142951562136216,0.170899816191755,0.645642517112137,0.0421112267466258,0.114342366795824
110,0.230478708406174,0.711358701157836,0.150977244614032,0.114720045600474,0.200075536492552,0.710886609405453,0.0490038726346207,0.122556889238751
120,0.266452652818531,0.769332465205922,0.179114343699754,0.130582570028209,0.237843455226996,0.748276847084104,0.0554244172732222,0.12699461913289
40,0.0315362100862787,0.0122745727409982,0.00132187701219516,0.02143329249453,0.0106694366780766,0.00141629685405414,0.0033991126889139,0.00830894165165155
50,0.0432442637233619,0.019072798417806,0.00141629678370591,0.0233216884875308,0.0163346237777262,0.00349353253077288,0.00302143388426381,0.0103861762027987
60,0.0527806619825638,0.0271928996119091,0.015579265535292,0.0437163627919603,0.0241714666421722,0.0804456617182947,0.00660938421679709,0.0228495894189324
70,0.0636389405603276,0.510811066792606,0.0391842120710869,0.0507978471325792,0.0301199125990905,0.557076760882821,0.0188839585933916,0.0596733093302844
80,0.080728921665961,0.686431882041784,0.0809177627566435,0.101784534159921,0.0690208669033062,0.705221427335702,0.0327636673269631,0.0814842791345647
90,0.108016243441221,0.738173932306285,0.105278068730793,0.133131904210741,0.138891512735084,0.808799931807862,0.0386176944268976,0.112265132807463
100,0.227174016614343,0.81484281069141,0.150127468429141,0.116986120679518,0.228212635578274,0.842696629287783,0.0570295538813425,0.125011804282906
110,0.267302430128993,0.84156358386926,0.168067229659166,0.100273820066892,0.342932680545614,0.901520163892902,0.0640166204729622,0.128127656672412
120,0.292134836297312,0.869134154617863,0.164384856811541,0.106883204776127,0.421017847694747,0.964120468535377,0.0632612593110766,0.119157777182971
