str,EMG_Chn_1,EMG_Chn_2,EMG_Chn_3,EMG_Chn_4,EMG_Chn_5,EMG_Chn_6,EMG_Chn_7,EMG_Chn_8
40,0.039166665636003,0.0236458333674818,0.00833333337989946,0.0377083340038856,0.0140625002483527,0.0088541666045785,0.0110416660706202,0.0223958330849806
50,0.0504166676352421,0.187604167809089,0.00874999992083758,0.0410416678835948,0.0408333335071802,0.411250005165736,0.0133333336561918,0.0245833328614632
60,0.0661458323399226,0.739166667064031,0.0172916667846342,0.0627083325137695,0.117916665971279,0.778333346048991,0.027708334227403,0.0338541654249032
70,0.084062498062849,0.823541671037674,0.0946874978641669,0.105104165772597,0.21614583581686,0.846145828564962,0.0579166669243326,0.0836458319875722
80,0.161666667709748,0.887604167064031,0.132812498758237,0.129166667660077,0.272604164977868,0.91302082935969,0.0717708326992579,0.117187500620882
90,0.265520835916201,0.936666667461395,0.175416664530834,0.151041666666667,0.335624997814496,0.980208347241084,0.0782291660628592,0.138645833358169
100,0.378020837903023,0.983125001192093,0.187187500298023,0.14489583298564,0.373541663090388,0.997604171435038,0.0885416654249032,0.143958332637946
110,0.401250004768372,1.01895834008853,0.190208335717519,0.136770834525426,0.388958334922791,1.03687497973442,0.0866666672906528,0.139479166517655
120,0.39343748986721,1.03562498092651,0.18843749910593,0.173749998211861,0.533437490463257,1.11156249046326,0.0859374981373549,0.148749995976686
40,0.0522916664679845,0.0303124993418654,0.00989583328676721,0.049583333854874,0.0272916665417142,0.0116666660954555,0.0106249998013179,0.0293749999254942
50,0.0679166646053394,0.0356250000186265,0.0247916664617757,0.0563541669398546,0.0322916665269683,0.0131249997454385,0.0103125000993411,0.0329166672502955
60,0.0842708336810271,0.0551041668901841,0.0647916660333673,0.0758333336561918,0.0415624994784594,0.0318749999666276,0.0160416656484207,0.0509374992301067
70,0.098541667064031,0.26822916418314,0.0815624998261531,0.0821875004718701,0.0633333331594865,0.0458333332402011,0.0281249998758237,0.0780208347908532
80,0.114687501142422,0.418229172627131,0.0966666663686434,0.103749997913837,0.0711458344012499,0.196979165077209,0.0457291680698593,0.10614583392938
90,0.155416667461395,0.612187499801318,0.106770833333333,0.15072916696469,0.157499999428789,0.494062508145968,0.0500000004346172,0.111770831979811
100,0.256458329657714,0.764375001192093,0.139479165275892,0.166041664779186,0.19687499354283,0.720624983310699,0.0547916665673256,0.134479166318973
110,0.262604164580504,0.793124993642171,0.174895831694206,0.134895832588275,0.229062498857578,0.792604168256124,0.0623958344804123,0.143541666989525
120,0.302291668951511,0.857083340485891,0.205937499801318,0.152395832041899,0.270729168007771,0.833854168653488,0.0694791665300727,0.1484375
40,0.0431249998509884,0.0218749999185093,0.0097916666418314,0.0319791665921609,0.0201041670128082,0.00989583336437742,0.0120833336065213,0.0175000000745058
50,0.0560416659961144,0.0293750007015963,0.00989583328676721,0.0340625001117587,0.0263541666014741,0.0121875003290673,0.0116666673372189,0.0197916657974323
60,0.066562498609225,0.0383333330973983,0.0255208333643774,0.0565624994536241,0.0350000001490116,0.0970833329483867,0.0156249987582366,0.033541666654249
70,0.0785416681319475,0.571874996026357,0.0515624986340602,0.0643749994536241,0.0415624991680185,0.622916658719381,0.0291666671012839,0.0741666681327236
80,0.097395833581686,0.765625,0.0976041685789824,0.120624999205271,0.0844791661947966,0.786354174216588,0.0444791664679845,0.0982291659650703
90,0.127500002582868,0.822708338499069,0.124479168405135,0.155208331843217,0.161562499900659,0.900625000397364,0.0509374998509884,0.132187501216928
100,0.258958332240582,0.907291680574417,0.173958333830039,0.137395832687616,0.26010416696469,0.938020825386047,0.0712500000372529,0.146250000844399
110,0.303229168057442,0.936770816644033,0.193750001490116,0.118958335369825,0.386666665474574,1.00291666388512,0.0789583356236108,0.149687500049671
120,0.330625002582868,0.967187474171321,0.189687500397364,0.126250001291434,0.472812498609225,1.07197914520899,0.0781249991656902,0.139791667461395
